Это группа;Наименование;Код;Тип склада;Комментарий
Нет;Усть Кут водоотвод;00-000107;Оптовый склад;
Нет;Усть Кут МИКУРА;БП-000141;Оптовый склад;
Нет;Усть-Кут;00-000002;Оптовый склад;
Нет;Усть-Кут гостиница;00-000110;Оптовый склад;
Нет;Усть-Кут квартира;00-000129;Оптовый склад;
Нет;Усть-Кут рем. цехов;00-000108;Оптовый склад;
Нет;Усть-Кут ТСЛК;БП-000158;Оптовый склад;
Нет;Усть-Кут цех сварки;00-000115;Оптовый склад;
Да;ЯНТАЛЬ;00-000071;;
Нет;БТЭ Янталь КС;00-000040;Оптовый склад;
Нет;Янталь;00-000016;Оптовый склад;беккер
Нет;Янталь БМК;00-000027;Оптовый склад;
Нет;Янталь БМК внутрянка;00-000101;Оптовый склад;
Нет;Янталь БМК магистраль;00-000102;Оптовый склад;
Нет;Янталь БМК монтаж;00-000104;Оптовый склад;
Нет;Янталь БМК фундамент;00-000103;Оптовый склад;
Нет;Янталь живое дно;00-000100;Оптовый склад;
Нет;Янталь Инвест ВО;00-000094;Оптовый склад;
Нет;Янталь Инвест ВС;00-000095;Оптовый склад;
Нет;Янталь Инвест тепло;00-000098;Оптовый склад;
Нет;Янталь КC;00-000036;Оптовый склад;
Нет;Янталь КАП;00-000030;Оптовый склад;
Нет;Янталь КР ВО;00-000077;Оптовый склад;
Нет;Янталь КР ВС;00-000093;Оптовый склад;
Нет;Янталь КР кот ЖД;00-000106;Оптовый склад;
Нет;Янталь КР кот. ДКВР;00-000073;Оптовый склад;
Нет;Янталь КР т/сети ДКВР;00-000072;Оптовый склад;
Нет;Янталь КР т/сети ЖД;00-000105;Оптовый склад;
Нет;Янталь монтаж МУН Котла;00-000099;Оптовый склад;
Нет;Янталь Ручей;00-000046;Оптовый склад;
Нет;Янталь Тек рем. в Т;00-000034;Оптовый склад;
Нет;Администрация офис;00-000003;Оптовый склад;
Нет;Администрация офис/о;00-000116;Оптовый склад;орион
Нет;Байкал 21;00-000017;Оптовый склад;
Нет;Витим;00-000006;Оптовый склад;
Нет;ГМЗ;00-000021;Оптовый склад;
Нет;ИПБатин;00-000113;Оптовый склад;
Нет;Канск;00-000015;Оптовый склад;
Нет;Колесников;БП-000161;Оптовый склад;
Нет;колония 20;00-000005;Оптовый склад;
Нет;котельная;00-000010;Оптовый склад;
Нет;Микура;00-000008;Оптовый склад;
Нет;МО 102;00-000004;Оптовый склад;
Нет;ОС.-Р;00-000033;Оптовый склад;
Нет;Основной скл. -Транзит;00-000053;Оптовый склад;
Нет;Основной склад;00-000001;Оптовый склад;
Нет;Сибавтодор;БП-000165;Оптовый склад;
Нет;Филипов;БП-000160;Оптовый склад;
